Dates,DayOfWeek,PdDistrict,Address,X,Y
14.01.2015,Sunday,MISSION,600 Block of SHOTWELL ST,-122.4156323,37.75802016
14.01.2015,Sunday,TARAVAL,1800 Block of OCEAN AV,-122.4616832,37.72518972
14.01.2015,Sunday,INGLESIDE,700 Block of HURON AV,-122.4496804,37.71189757
14.01.2015,Monday,INGLESIDE,0 Block of NORTON ST,-122.4357091,37.72505147
14.01.2015,Monday,INGLESIDE,0 Block of NORTON ST,-122.4357091,37.72505147
14.01.2015,Monday,MISSION,0 Block of FAIROAKS ST,-122.4244352,37.75589963
14.01.2015,Monday,INGLESIDE,5700 Block of MISSION ST,-122.4502972,37.70955194
14.01.2015,Monday,MISSION,17TH ST . MISSION ST,-122.4195157,37.76342923
14.01.2015,Monday,MISSION,17TH ST . MISSION ST,-122.4195157,37.76342923
14.01.2015,Monday,INGLESIDE,200 Block of ALEMANY BL,-122.4103714,37.73514365
14.01.2015,Monday,INGLESIDE,ALEMANY BL . ELLSWORTH ST,-122.4189687,37.73220831
14.01.2015,Monday,SOUTHERN,TOWNSEND ST . 3RD ST,-122.3927536,37.77885187
14.01.2015,Monday,BAYVIEW,OAKDALE AV . PHELPS ST,-122.394095,37.7367312
14.01.2015,Monday,TENDERLOIN,200 Block of TURK ST,-122.4132375,37.78284302
14.01.2015,Monday,RICHMOND,2200 Block of POST ST,-122.4388572,37.78436853
14.01.2015,Monday,INGLESIDE,1700 Block of VISITACION AV,-122.4142044,37.71626984
14.01.2015,Monday,INGLESIDE,3300 Block of SAN BRUNO AV,-122.4006502,37.71976299
14.01.2015,Monday,RICHMOND,JACKSON ST . LAUREL ST,-122.4508325,37.79039814
14.01.2015,Monday,PARK,MASONIC AV . GOLDEN GATE AV,-122.4468469,37.77766882
14.01.2015,Monday,SOUTHERN,3RD ST . MARKET ST,-122.4034341,37.78764305
14.01.2015,Monday,INGLESIDE,300 Block of SCHWERIN ST,-122.4123061,37.70828445
14.01.2015,Monday,NORTHERN,200 Block of HAIGHT ST,-122.426362,37.77268184
14.01.2015,Monday,PARK,1800 Block of FULTON ST,-122.4469643,37.77568322
14.01.2015,Monday,NORTHERN,1800 Block of SUTTER ST,-122.4307915,37.78645623
14.01.2015,Monday,NORTHERN,2100 Block of BAY ST,-122.4424196,37.80199634
14.01.2015,Monday,PARK,1500 Block of GROVE ST,-122.4421276,37.77534387
14.01.2015,Monday,BAYVIEW,1300 Block of QUESADA AV,-122.3849813,37.72960467
14.01.2015,Monday,BAYVIEW,BRUSSELS ST . DWIGHT ST,-122.4040676,37.7235253
14.01.2015,Monday,TENDERLOIN,TURK ST . JONES ST,-122.4124143,37.7830038
14.01.2015,Monday,TARAVAL,ASHTON AV . GRAFTON AV,-122.4622539,37.72000753
14.01.2015,Monday,CENTRAL,100 Block of DRUMM ST,-122.3966123,37.79504468
14.01.2015,Monday,CENTRAL,BAY ST . POLK ST,-122.4234681,37.80435425
14.01.2015,Monday,RICHMOND,4700 Block of BALBOA ST,-122.5096447,37.77520654
14.01.2015,Monday,BAYVIEW,DWIGHT ST . HAMILTON ST,-122.4080352,37.72248594
14.01.2015,Monday,INGLESIDE,ORA WY . TOPAZ WY,-122.4374954,37.73997837
14.01.2015,Monday,MISSION,2300 Block of BRYANT ST,-122.4095921,37.75677584
14.01.2015,Monday,TARAVAL,19TH AV . PACHECO ST,-122.4761644,37.75051083
14.01.2015,Monday,TARAVAL,19TH AV . PACHECO ST,-122.4761644,37.75051083
14.01.2015,Monday,TARAVAL,19TH AV . PACHECO ST,-122.4761644,37.75051083
14.01.2015,Monday,PARK,100 Block of HUGO ST,-122.4594309,37.76533494
14.01.2015,Monday,SOUTHERN,6TH ST . MISSION ST,-122.4087106,37.78097067
14.01.2015,Monday,MISSION,23RD ST . SAN JOSE AV,-122.4215191,37.75366149
14.01.2015,Monday,TENDERLOIN,0 Block of POWELL ST,-122.4078454,37.78509432
14.01.2015,Monday,INGLESIDE,700 Block of CHENERY ST,-122.4351507,37.73465414
14.01.2015,Monday,TENDERLOIN,ELLIS ST . MASON ST,-122.4094999,37.78528427
14.01.2015,Monday,TENDERLOIN,HYDE ST . TURK ST,-122.4156949,37.7825852
14.01.2015,Monday,CENTRAL,0 Block of POST ST,-122.4023466,37.78900334
14.01.2015,Monday,INGLESIDE,1700 Block of GENEVA AV,-122.4279656,37.71158164
14.01.2015,Monday,NORTHERN,600 Block of TURK ST,-122.4198206,37.78200878
14.01.2015,Monday,TENDERLOIN,0 Block of TURK ST,-122.4098537,37.78338624
14.01.2015,Monday,TARAVAL,DORADO TR . OCEAN AV,-122.4612085,37.72495025
14.01.2015,Monday,BAYVIEW,JENNINGS ST . YOSEMITE AV,-122.3898011,37.72579324
14.01.2015,Monday,BAYVIEW,JENNINGS ST . YOSEMITE AV,-122.3898011,37.72579324
14.01.2015,Monday,SOUTHERN,400 Block of BRANNAN ST,-122.3950233,37.77944065
14.01.2015,Monday,SOUTHERN,400 Block of BRANNAN ST,-122.3950233,37.77944065
14.01.2015,Monday,SOUTHERN,100 Block of SHIPLEY ST,-122.4016994,37.78065229
14.01.2015,Monday,SOUTHERN,RHODEISLAND ST . ALAMEDA ST,-122.40293,37.7686481
14.01.2015,Monday,TARAVAL,ORTEGA ST . 19TH AV,-122.4762936,37.75237659
14.01.2015,Monday,BAYVIEW,100 Block of HARBOR RD,-122.3783923,37.73233125
14.01.2015,Monday,TARAVAL,100 Block of TARAVAL ST,-122.4664582,37.74357778
14.01.2015,Monday,RICHMOND,300 Block of CORNWALL ST,-122.4629558,37.78482603
14.01.2015,Monday,BAYVIEW,1000 Block of LECONTE AV,-122.3980042,37.71903318
14.01.2015,Monday,NORTHERN,0 Block of BELCHER ST,-122.4300938,37.76851476
14.01.2015,Monday,NORTHERN,0 Block of BELCHER ST,-122.4300938,37.76851476
14.01.2015,Monday,BAYVIEW,1000 Block of LECONTE AV,-122.3980042,37.71903318
14.01.2015,Monday,BAYVIEW,1000 Block of LECONTE AV,-122.3980042,37.71903318
14.01.2015,Monday,SOUTHERN,600 Block of NATOMA ST,-122.4110206,37.77748289
14.01.2015,Monday,NORTHERN,0 Block of BELCHER ST,-122.4300938,37.76851476
14.01.2015,Monday,BAYVIEW,SAN BRUNO AV . WOOLSEY ST,-122.4026036,37.72523557
14.01.2015,Monday,MISSION,100 Block of GRANDVIEW AV,-122.4404118,37.75544561
14.01.2015,Monday,BAYVIEW,2000 Block of PALOU AV,-122.3992901,37.73880017
14.01.2015,Monday,SOUTHERN,MARKET ST . MASON ST,-122.4089536,37.78328787
14.01.2015,Monday,SOUTHERN,BRANNAN ST . 4TH ST,-122.3965332,37.7783269
14.01.2015,Monday,MISSION,BARTLETT ST . 24TH ST,-122.4195604,37.75217161
14.01.2015,Monday,RICHMOND,1700 Block of DIVISADERO ST,-122.4398523,37.78573939
14.01.2015,Monday,MISSION,21ST ST . FOLSOM ST,-122.4145447,37.7572993
14.01.2015,Monday,MISSION,21ST ST . FOLSOM ST,-122.4145447,37.7572993
14.01.2015,Monday,MISSION,21ST ST . FOLSOM ST,-122.4145447,37.7572993
14.01.2015,Monday,SOUTHERN,700 Block of MARKET ST,-122.4039191,37.7871161
14.01.2015,Monday,CENTRAL,800 Block of STOCKTON ST,-122.4077486,37.79363635
14.01.2015,Monday,TENDERLOIN,700 Block of OFARRELL ST,-122.4171073,37.78532383
14.01.2015,Monday,TENDERLOIN,700 Block of OFARRELL ST,-122.4171073,37.78532383
14.01.2015,Monday,TENDERLOIN,700 Block of OFARRELL ST,-122.4171073,37.78532383
14.01.2015,Monday,RICHMOND,400 Block of 10TH AV,-122.4684247,37.77984435
14.01.2015,Monday,SOUTHERN,400 Block of 10TH ST,-122.4105412,37.77091306
14.01.2015,Monday,MISSION,16TH ST . MISSION ST,-122.4196718,37.76505012
14.01.2015,Monday,MISSION,16TH ST . MISSION ST,-122.4196718,37.76505012
14.01.2015,Monday,INGLESIDE,0 Block of PASADENA ST,-122.4188297,37.70881614
14.01.2015,Monday,INGLESIDE,0 Block of PASADENA ST,-122.4188297,37.70881614
14.01.2015,Monday,INGLESIDE,0 Block of PASADENA ST,-122.4188297,37.70881614
14.01.2015,Monday,INGLESIDE,0 Block of PASADENA ST,-122.4188297,37.70881614
14.01.2015,Monday,INGLESIDE,100 Block of PERSIA AV,-122.4347643,37.72261614
14.01.2015,Monday,INGLESIDE,100 Block of PERSIA AV,-122.4347643,37.72261614
14.01.2015,Monday,MISSION,1000 Block of SOUTH VAN NESS AV,-122.4165727,37.75635629
14.01.2015,Monday,PARK,800 Block of CENTRAL AV,-122.4449947,37.77743976
14.01.2015,Monday,INGLESIDE,0 Block of BADEN ST,-122.4398052,37.73052742
14.01.2015,Monday,INGLESIDE,0 Block of BADEN ST,-122.4398052,37.73052742
14.01.2015,Monday,INGLESIDE,0 Block of BADEN ST,-122.4398052,37.73052742
14.01.2015,Monday,BAYVIEW,0 Block of OSCEOLA LN,-122.3831875,37.7316758
14.01.2015,Monday,BAYVIEW,0 Block of OSCEOLA LN,-122.3831875,37.7316758
14.01.2015,Monday,TARAVAL,100 Block of TARAVAL ST,-122.4664582,37.74357778
14.01.2015,Monday,NORTHERN,1900 Block of FILLMORE ST,-122.4335749,37.78724375
14.01.2015,Monday,SOUTHERN,200 Block of 9TH ST,-122.412845,37.77481706
14.01.2015,Monday,RICHMOND,PARKER AV . MCALLISTER ST,-122.4529636,37.77574918
14.01.2015,Monday,TENDERLOIN,100 Block of LEAVENWORTH ST,-122.4140298,37.78232912
14.01.2015,Monday,TENDERLOIN,100 Block of LEAVENWORTH ST,-122.4140298,37.78232912
14.01.2015,Monday,CENTRAL,PINE ST . GRANT AV,-122.4057448,37.79149808
14.01.2015,Monday,RICHMOND,2900 Block of PACIFIC AV,-122.4438353,37.79213656
14.01.2015,Monday,RICHMOND,2900 Block of PACIFIC AV,-122.4438353,37.79213656
14.01.2015,Monday,RICHMOND,2900 Block of PACIFIC AV,-122.4438353,37.79213656
14.01.2015,Monday,PARK,HAIGHT ST . ASHBURY ST,-122.4469333,37.7700062
14.01.2015,Monday,TARAVAL,1400 Block of 26TH AV,-122.4844985,37.76041464
14.01.2015,Monday,SOUTHERN,0 Block of FOLSOM ST,-122.390556,37.79047504
14.01.2015,Monday,SOUTHERN,0 Block of FOLSOM ST,-122.390556,37.79047504
14.01.2015,Monday,PARK,1400 Block of 7TH AV,-122.4640448,37.76131618
14.01.2015,Monday,PARK,1400 Block of 7TH AV,-122.4640448,37.76131618
14.01.2015,Monday,CENTRAL,600 Block of GEARY ST,-122.4139888,37.78656854
14.01.2015,Monday,CENTRAL,300 Block of POST ST,-122.4076129,37.7884486
14.01.2015,Monday,CENTRAL,300 Block of POST ST,-122.4076129,37.7884486
14.01.2015,Monday,MISSION,16TH ST . MISSION ST,-122.4196718,37.76505012
14.01.2015,Monday,INGLESIDE,600 Block of MONTEREY BL,-122.4500266,37.73144008
14.01.2015,Monday,RICHMOND,2900 Block of PACIFIC AV,-122.4438353,37.79213656
14.01.2015,Monday,PARK,2600 Block of GEARY BL,-122.446613,37.78224582
14.01.2015,Monday,PARK,2600 Block of GEARY BL,-122.446613,37.78224582
14.01.2015,Monday,CENTRAL,TAYLOR ST . JEFFERSON ST,-122.4158057,37.80821201
14.01.2015,Monday,RICHMOND,2900 Block of PACIFIC AV,-122.4438353,37.79213656
14.01.2015,Monday,MISSION,19TH ST . FOLSOM ST,-122.4148451,37.76050007
14.01.2015,Monday,CENTRAL,900 Block of JACKSON ST,-122.4105011,37.79559615
14.01.2015,Monday,BAYVIEW,1500 Block of NEWHALL ST,-122.3931197,37.73475156
14.01.2015,Monday,BAYVIEW,1500 Block of NEWHALL ST,-122.3931197,37.73475156
14.01.2015,Monday,MISSION,CUMBERLAND ST . CHURCH ST,-122.4281279,37.75889083
14.01.2015,Monday,TENDERLOIN,200 Block of EDDY ST,-122.4117783,37.78398056
14.01.2015,Monday,SOUTHERN,11TH ST . FOLSOM ST,-122.4140273,37.77186362
14.01.2015,Monday,CENTRAL,2500 Block of MASON ST,-122.4138143,37.80703621
14.01.2015,Monday,TENDERLOIN,100 Block of HYDE ST,-122.4156697,37.78211985
14.01.2015,Monday,CENTRAL,THE EMBARCADERONORTH ST . BROADWAY ST,-122.3973919,37.79906588
14.01.2015,Monday,INGLESIDE,SANTOS ST . GENEVA AV,-122.4200841,37.70831097
14.01.2015,Monday,BAYVIEW,HARE ST . MIDDLEPOINT RD,-122.3794244,37.73448017
14.01.2015,Monday,INGLESIDE,0 Block of TOPAZ WY,-122.4364097,37.74150576
14.01.2015,Monday,INGLESIDE,3300 Block of MISSION ST,-122.4216445,37.74299701
14.01.2015,Monday,MISSION,500 Block of HAMPSHIRE ST,-122.4083126,37.76248276
14.01.2015,Monday,SOUTHERN,700 Block of MARKET ST,-122.4052948,37.78630722
14.01.2015,Monday,TARAVAL,NORIEGA ST . 41ST AV,-122.4786137,37.75414516
14.01.2015,Monday,SOUTHERN,200 Block of INTERSTATE80 HY,-122.3655654,37.8096707
14.01.2015,Monday,SOUTHERN,200 Block of INTERSTATE80 HY,-122.3655654,37.8096707
14.01.2015,Monday,TENDERLOIN,GOLDEN GATE AV . JONES ST,-122.4122242,37.78207293
14.01.2015,Monday,SOUTHERN,800 Block of MISSION ST,-122.4053955,37.78351007
14.01.2015,Monday,RICHMOND,800 Block of 32ND AV,-122.4918237,37.77313966
14.01.2015,Monday,CENTRAL,600 Block of FILBERT ST,-122.4102201,37.80132257
14.01.2015,Monday,CENTRAL,100 Block of CALIFORNIA ST,-122.3982172,37.79348665
14.01.2015,Monday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
14.01.2015,Monday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
14.01.2015,Monday,CENTRAL,400 Block of DAVIS CT,-122.3981877,37.79671489
14.01.2015,Monday,NORTHERN,PINE ST . GOUGH ST,-122.4254239,37.78899458
14.01.2015,Monday,NORTHERN,GEARY BL . FILLMORE ST,-122.4329146,37.78435334
14.01.2015,Monday,NORTHERN,VANNESS AV . JACKSON ST,-122.4230493,37.79393382
14.01.2015,Monday,NORTHERN,VANNESS AV . JACKSON ST,-122.4230493,37.79393382
14.01.2015,Monday,BAYVIEW,200 Block of TOPEKA AV,-122.3962115,37.73236549
14.01.2015,Monday,BAYVIEW,200 Block of TOPEKA AV,-122.3962115,37.73236549
14.01.2015,Monday,PARK,500 Block of PARNASSUS AV,-122.4582673,37.76341586
14.01.2015,Monday,PARK,500 Block of PARNASSUS AV,-122.4582673,37.76341586
14.01.2015,Monday,TARAVAL,100 Block of VICTORIA ST,-122.4653628,37.71361516
14.01.2015,Monday,NORTHERN,POST ST . LARKIN ST,-122.4182742,37.7870372
14.01.2015,Monday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
14.01.2015,Monday,TARAVAL,24TH AV . TARAVAL ST,-122.4810482,37.74281424
14.01.2015,Monday,BAYVIEW,LANE ST . REVERE AV,-122.3901648,37.73166307
14.01.2015,Monday,BAYVIEW,LANE ST . REVERE AV,-122.3901648,37.73166307
14.01.2015,Monday,TENDERLOIN,0 Block of MASON ST,-122.4092684,37.78379987
14.01.2015,Monday,NORTHERN,LARKIN ST . OFARRELL ST,-122.417904,37.78516709
14.01.2015,Monday,NORTHERN,LARKIN ST . OFARRELL ST,-122.417904,37.78516709
14.01.2015,Monday,NORTHERN,LARKIN ST . OFARRELL ST,-122.417904,37.78516709
14.01.2015,Monday,NORTHERN,0 Block of DANIELBURNHAM CT,-122.4225406,37.78690887
14.01.2015,Monday,TENDERLOIN,100 Block of TURK ST,-122.4116151,37.78316141
14.01.2015,Monday,INGLESIDE,OCEAN AV . SAN JOSE AV,-122.4447467,37.7229679
14.01.2015,Monday,BAYVIEW,3RD ST . QUESADA AV,-122.3912456,37.7332252
14.01.2015,Monday,BAYVIEW,2000 Block of CARROLL AV,-122.4017439,37.72979379
14.01.2015,Monday,NORTHERN,1700 Block of UNION ST,-122.4280963,37.79797376
14.01.2015,Monday,NORTHERN,FILLMORE ST . TURK ST,-122.4321428,37.78049558
14.01.2015,Monday,CENTRAL,POWELL ST . SUTTER ST,-122.4085974,37.78922421
14.01.2015,Monday,SOUTHERN,700 Block of MARKET ST,-122.4040947,37.78725609
14.01.2015,Monday,NORTHERN,2000 Block of STEINER ST,-122.4354595,37.78821955
14.01.2015,Monday,TENDERLOIN,LEAVENWORTH ST . TURK ST,-122.4140563,37.78279311
14.01.2015,Monday,SOUTHERN,1500 Block of MISSION ST,-122.4179754,37.77375094
14.01.2015,Monday,SOUTHERN,1500 Block of MISSION ST,-122.4179754,37.77375094
14.01.2015,Monday,SOUTHERN,500 Block of BRYANT ST,-122.39619,37.78112388
14.01.2015,Monday,NORTHERN,1200 Block of WEBSTER ST,-122.4308575,37.78209668
14.01.2015,Monday,CENTRAL,300 Block of POST ST,-122.4076129,37.7884486
14.01.2015,Monday,CENTRAL,300 Block of POST ST,-122.4076129,37.7884486
14.01.2015,Monday,MISSION,100 Block of CAPP ST,-122.4185499,37.76428371
14.01.2015,Monday,NORTHERN,VANNESS AV . JACKSON ST,-122.4230493,37.79393382
14.01.2015,Monday,NORTHERN,VANNESS AV . JACKSON ST,-122.4230493,37.79393382
14.01.2015,Monday,TARAVAL,100 Block of MAJESTIC AV,-122.4524809,37.71617935
14.01.2015,Monday,CENTRAL,DRUMM ST . SACRAMENTO ST,-122.3965886,37.79458764
14.01.2015,Monday,CENTRAL,DRUMM ST . SACRAMENTO ST,-122.3965886,37.79458764
14.01.2015,Monday,MISSION,1700 Block of HARRISON ST,-122.4133542,37.7690748
14.01.2015,Monday,CENTRAL,1100 Block of BUSH ST,-122.4162212,37.78926723
14.01.2015,Monday,CENTRAL,300 Block of SUTTER ST,-122.4062037,37.78958498
14.01.2015,Monday,SOUTHERN,700 Block of MARKET ST,-122.4039191,37.7871161
14.01.2015,Monday,SOUTHERN,500 Block of MINNA ST,-122.4087707,37.7801357
14.01.2015,Monday,NORTHERN,800 Block of VANNESS AV,-122.4209969,37.78310327
14.01.2015,Monday,NORTHERN,800 Block of VANNESS AV,-122.4209969,37.78310327
14.01.2015,Monday,NORTHERN,800 Block of VANNESS AV,-122.4209969,37.78310327
14.01.2015,Monday,NORTHERN,2000 Block of FILBERT ST,-122.4332409,37.7983868
14.01.2015,Monday,TENDERLOIN,JONES ST . TURK ST,-122.4124143,37.7830038
14.01.2015,Monday,TENDERLOIN,JONES ST . TURK ST,-122.4124143,37.7830038
14.01.2015,Monday,SOUTHERN,11TH ST . HARRISON ST,-122.4124833,37.77063059
14.01.2015,Monday,SOUTHERN,11TH ST . HARRISON ST,-122.4124833,37.77063059
14.01.2015,Monday,CENTRAL,1000 Block of CLAY ST,-122.4107869,37.79374903
14.01.2015,Monday,CENTRAL,1000 Block of CLAY ST,-122.4107869,37.79374903
14.01.2015,Monday,CENTRAL,1000 Block of CLAY ST,-122.4107869,37.79374903
14.01.2015,Monday,CENTRAL,1000 Block of CLAY ST,-122.4107869,37.79374903
14.01.2015,Monday,NORTHERN,MARKET ST . VANNESS AV,-122.4192579,37.77514629
14.01.2015,Monday,NORTHERN,MARKET ST . VANNESS AV,-122.4192579,37.77514629
14.01.2015,Monday,NORTHERN,MARKET ST . VANNESS AV,-122.4192579,37.77514629
14.01.2015,Monday,MISSION,2000 Block of MARKET ST,-122.4269556,37.76924706
14.01.2015,Monday,MISSION,2000 Block of MARKET ST,-122.4269556,37.76924706
14.01.2015,Monday,NORTHERN,1700 Block of GREENWICH ST,-122.4284726,37.79983646
14.01.2015,Monday,MISSION,16TH ST . MISSION ST,-122.4196718,37.76505012
14.01.2015,Monday,MISSION,3500 Block of CESAR CHAVEZ ST,-122.4208327,37.74799945
14.01.2015,Monday,MISSION,3500 Block of CESAR CHAVEZ ST,-122.4208327,37.74799945
14.01.2015,Monday,SOUTHERN,0 Block of 6TH ST,-122.4095043,37.78152627
14.01.2015,Monday,RICHMOND,400 Block of 6TH AV,-122.4642799,37.7800333
14.01.2015,Monday,INGLESIDE,0 Block of SGTJOHNVYOUNG LN,-122.4447071,37.72493073
14.01.2015,Monday,RICHMOND,3000 Block of CALIFORNIA ST,-122.4446045,37.78759492
14.01.2015,Monday,RICHMOND,3000 Block of CALIFORNIA ST,-122.4446045,37.78759492
14.01.2015,Monday,TARAVAL,2300 Block of 28TH AV,-122.4853305,37.74354453
14.01.2015,Monday,TENDERLOIN,0 Block of TURK ST,-122.4098537,37.78338624
14.01.2015,Monday,TENDERLOIN,0 Block of TURK ST,-122.4098537,37.78338624
14.01.2015,Monday,TENDERLOIN,0 Block of TURK ST,-122.4098537,37.78338624
14.01.2015,Monday,NORTHERN,VANNESS AV . TURK ST,-122.4206419,37.78196082
14.01.2015,Monday,BAYVIEW,200 Block of WILLIAMS AV,-122.3977444,37.72993469
14.01.2015,Monday,MISSION,2300 Block of BRYANT ST,-122.409454,37.75678281
14.01.2015,Monday,MISSION,2300 Block of BRYANT ST,-122.409454,37.75678281
14.01.2015,Monday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
14.01.2015,Monday,TENDERLOIN,100 Block of POWELL ST,-122.4080145,37.78595078
14.01.2015,Monday,SOUTHERN,MARKET ST . 7TH ST,-122.4125153,37.78047775
14.01.2015,Monday,SOUTHERN,MARKET ST . 7TH ST,-122.4125153,37.78047775
14.01.2015,Monday,MISSION,24TH ST . OSAGE ST,-122.4190181,37.75220516
14.01.2015,Monday,MISSION,24TH ST . OSAGE ST,-122.4190181,37.75220516
14.01.2015,Monday,SOUTHERN,1100 Block of MARKET ST,-122.4135641,37.77951403
14.01.2015,Monday,SOUTHERN,TAYLOR ST . GOLDEN GATE AV,-122.4102935,37.78223059
14.01.2015,Monday,NORTHERN,VANNESS AV . FELL ST,-122.4195075,37.7763701
14.01.2015,Monday,SOUTHERN,800 Block of MISSION ST,-122.4053955,37.78351007
14.01.2015,Monday,RICHMOND,1000 Block of POINTLOBOS AV,-122.5136421,37.77846922
14.01.2015,Monday,TARAVAL,EUCALYPTUS DR . 25TH AV,-122.475925,37.73110203
14.01.2015,Monday,NORTHERN,3600 Block of BUCHANAN ST,-122.4333599,37.80356321
14.01.2015,Monday,PARK,200 Block of CENTRAL AV,-122.4440004,37.77182705
14.01.2015,Monday,PARK,200 Block of CENTRAL AV,-122.4440004,37.77182705
14.01.2015,Monday,MISSION,1000 Block of POTRERO AV,-122.4065391,37.75648641
14.01.2015,Monday,MISSION,800 Block of CAPP ST,-122.4174994,37.75308467
14.01.2015,Monday,SOUTHERN,1300 Block of HOWARD ST,-122.4142178,37.77423917
14.01.2015,Monday,SOUTHERN,1300 Block of HOWARD ST,-122.4142178,37.77423917
14.01.2015,Monday,SOUTHERN,1300 Block of HOWARD ST,-122.4142178,37.77423917
14.01.2015,Monday,SOUTHERN,300 Block of BRANNAN ST,-122.3937927,37.78056819
14.01.2015,Monday,SOUTHERN,300 Block of BRANNAN ST,-122.3937927,37.78056819
14.01.2015,Monday,SOUTHERN,300 Block of BRANNAN ST,-122.3937927,37.78056819
14.01.2015,Monday,NORTHERN,PIERCE ST . CHESTNUT ST,-122.4395049,37.80040249
14.01.2015,Monday,MISSION,800 Block of CAPP ST,-122.4174994,37.75308467
14.01.2015,Monday,SOUTHERN,0 Block of SOUTH VAN NESS AV,-122.4183383,37.77266418
14.01.2015,Monday,SOUTHERN,0 Block of 12TH ST,-122.4200014,37.77409486
14.01.2015,Monday,PARK,1700 Block of EDDY ST,-122.4364431,37.78084932
14.01.2015,Monday,TENDERLOIN,100 Block of OFARRELL ST,-122.4072441,37.78656476
14.01.2015,Monday,TENDERLOIN,100 Block of OFARRELL ST,-122.4072441,37.78656476
14.01.2015,Monday,MISSION,MISSION ST . 24TH ST,-122.4184482,37.75223917
14.01.2015,Monday,RICHMOND,GEARY BL . ARGUELLO BL,-122.4588606,37.78125509
14.01.2015,Monday,SOUTHERN,FOLSOM ST . 4TH ST,-122.4011616,37.78202385
14.01.2015,Monday,BAYVIEW,1500 Block of VANDYKE AV,-122.3915402,37.72859535
14.01.2015,Monday,NORTHERN,900 Block of STEINER ST,-122.4332465,37.77797407
14.01.2015,Monday,MISSION,2000 Block of MISSION ST,-122.4196583,37.76422056
14.01.2015,Monday,MISSION,2000 Block of MISSION ST,-122.4196583,37.76422056
14.01.2015,Monday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
14.01.2015,Monday,PARK,1600 Block of FULTON ST,-122.4439829,37.77617354
14.01.2015,Monday,SOUTHERN,300 Block of MARKET ST,-122.3977422,37.79198058
14.01.2015,Monday,TARAVAL,3100 Block of ORTEGA ST,-122.4972425,37.7513959
14.01.2015,Monday,TARAVAL,3100 Block of ORTEGA ST,-122.4972425,37.7513959
14.01.2015,Monday,TARAVAL,3100 Block of ORTEGA ST,-122.4972425,37.7513959
14.01.2015,Monday,NORTHERN,2100 Block of BAY ST,-122.4423803,37.80189009
14.01.2015,Monday,TARAVAL,2400 Block of 33RD AV,-122.4906947,37.7414351
14.01.2015,Monday,TARAVAL,2400 Block of 33RD AV,-122.4906947,37.7414351
14.01.2015,Monday,SOUTHERN,800 Block of BRYANT ST,-122.4028491,37.77585996
14.01.2015,Monday,TARAVAL,2000 Block of 29TH AV,-122.486926,37.74908417
14.01.2015,Monday,MISSION,1300 Block of MINNA ST,-122.4190779,37.76750804
14.01.2015,Monday,MISSION,100 Block of UTAH ST,-122.4066676,37.76777048
14.01.2015,Monday,TENDERLOIN,100 Block of TURK ST,-122.4116151,37.78316141
14.01.2015,Monday,TENDERLOIN,100 Block of TURK ST,-122.4116151,37.78316141
14.01.2015,Monday,INGLESIDE,3900 Block of MISSION ST,-122.4251815,37.73475709
14.01.2015,Monday,INGLESIDE,3900 Block of MISSION ST,-122.4251815,37.73475709
14.01.2015,Monday,TENDERLOIN,8TH ST . MARKET ST,-122.4147438,37.77871926
14.01.2015,Monday,CENTRAL,1400 Block of THE EMBARCADERONORTH ST,-122.4064294,37.80713681
14.01.2015,Monday,TARAVAL,100 Block of FLOURNOY ST,-122.4608316,37.70800346
14.01.2015,Monday,INGLESIDE,300 Block of BANKS ST,-122.4127713,37.73878919
14.01.2015,Monday,TARAVAL,2000 Block of 29TH AV,-122.486926,37.74908417
14.01.2015,Monday,TARAVAL,2000 Block of 29TH AV,-122.486926,37.74908417
14.01.2015,Monday,MISSION,14TH ST . MISSION ST,-122.4199834,37.76827268
14.01.2015,Monday,INGLESIDE,4100 Block of SAN BRUNO AV,-122.402438,37.71252201
14.01.2015,Monday,INGLESIDE,3900 Block of MISSION ST,-122.4251815,37.73475709
14.01.2015,Monday,SOUTHERN,400 Block of BERRY ST,-122.3982227,37.77201612
14.01.2015,Monday,TENDERLOIN,GOLDEN GATE AV . JONES ST,-122.4122242,37.78207293
14.01.2015,Monday,TENDERLOIN,GOLDEN GATE AV . JONES ST,-122.4122242,37.78207293
14.01.2015,Monday,TENDERLOIN,GOLDEN GATE AV . JONES ST,-122.4122242,37.78207293
14.01.2015,Monday,RICHMOND,2000 Block of PIERCE ST,-122.4371125,37.788751
14.01.2015,Monday,MISSION,900 Block of POTRERO AV,-122.4066049,37.75715804
14.01.2015,Monday,NORTHERN,OFARRELL ST . FRANKLIN ST,-122.4228408,37.78454554
14.01.2015,Monday,NORTHERN,OFARRELL ST . FRANKLIN ST,-122.4228408,37.78454554
14.01.2015,Monday,NORTHERN,OFARRELL ST . FRANKLIN ST,-122.4228408,37.78454554
14.01.2015,Monday,SOUTHERN,700 Block of MISSION ST,-122.4028436,37.78571847
14.01.2015,Monday,NORTHERN,WEBSTER ST . OFARRELL ST,-122.4309924,37.78350583
